"","anno","tasso_std","tasso_standard"
"1",2011,0.0135466146319802,1354.66146319802
"2",2012,0.0134827790215959,1348.27790215959
"3",2013,0.012913978131073,1291.3978131073
"4",2014,0.012580758564853,1258.0758564853
"5",2015,0.0132674938862037,1326.74938862037
"6",2016,0.0123997237760051,1239.97237760051
"7",2017,0.0127259187563674,1272.59187563674
"8",2018,0.0121462770263612,1214.62770263612
"9",2019,0.0119512958922928,1195.12958922928
"10",2020,0.0135526064514566,1355.26064514566
"11",2021,0.0127824798589209,1278.24798589209
"12",2022,0.0127071884360005,1270.71884360005
"13",2023,0.0116707317706468,1167.07317706468
"14",2024,0.0112823014154356,1128.23014154356
"15",2025,0.0110585628289508,1105.85628289508
